comname,businessScope,cominfo
芳臣美容品（北京）有限公司,销售化妆品、日用品、电子产品、办公用品、工艺品（不含文物）；经济贸易咨询；技术推广服务；承办展览展示活动；组织文化艺术交流活动（不含演出、棋牌室）；企业管理咨询；企业形象策划；市场调查。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,
贵阳春兰炫彩美发美容厅,法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可（审批）的，经审批机关批准后凭许可（审批）文件经营;法律、法规、国务院决定规定无需许可（审批）的，市场主体自主选择经营。(美容；健康信息咨询；化妆品销售。),
北京施雅尚美容有限公司,美容服务；销售化妆品；经济信息咨询。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
北京圣丹莱美容美发有限公司,美容（限非医疗美容）；理发；销售化妆品、日用品。,
北京千富美容有限公司,美容（限非医疗美容）（卫生许可证有效期至2018年05月20日）；销售化妆品、日用品。 美容（限非医疗美容）（卫生许可证有效期至2018年05月20日）(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
北京秀颜国际美容有限公司,美容；理发；销售化妆品、服装、鞋帽。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),
北京金侨美容美发有限公司,理发、美容（医疗性美容除外）；销售化妆品、日用杂品、洗涤用品。,
北京美兆健康体检中心有限公司,提供健康检查服务及相关的健康咨询服务；具体健康检诊科目包括：内科、外科、妇科、儿科、口腔科、耳鼻喉科、眼科、皮肤科、医学影像科、医学检验科。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,美兆集团成立于1988年，是全球唯一获得ISO9001国际品质认证的健康管理中心，其检验仪器及健检流程都具世界级专业水准。在“人本关怀，成长共享”的经营理念下，美兆致力推动健康管理开创的新纪元。美兆健检与英国BUPA、日本PL并列于世界三大健检机构， “北京美兆”是美兆集团在国内地区第一家旗舰店，以自动化专业健康检查业务为主，并朝向全方位健康产业的健康管理机构。 “北京美兆”以专业体检经验成为全国体检行业的标杆，是世界领先的美兆全自动化的健康体检流程软件系统为依托，建立健康管理平台，并结合了高档化的体检环境、人性化的优质服务、科学化的管理。 “北京美兆”将与集团目前下属的台北健检中心、台中健检中心、高雄健检中心、桃园健检中心、香港健检中心、吉隆坡健检中心等，以及将来预计在大陆新开辟的30家健检中心一起，引领国内健检行业迈向更高的台阶。 “北京美兆”已经吸引了诸多的国内外行业精英，现诚邀您的加盟，共同打造健检行业之旗舰，享受美兆一贯秉持的“人本关怀，成长共享”的企业经营理念。 欢迎您加入美兆大家庭，美兆将与您一同成长！
北京剪艺之爱美发设计有限公司,理发；销售化妆品、通讯设备、电子产品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
北京港汇吉阿纪美容美发有限公司,美容美发；技术服务、技术转让、技术咨询；销售化妆品、日用品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
北京东方水润容颜美容有限公司,美容（非医疗美容）；销售化妆品、工艺美术品；经济贸易咨询；技术推广服务。,
北京荣富祥平商贸有限公司,销售首饰、工艺品、服装、鞋帽、日用品、家用电器、五金交电、文具用品、体育用品、电子产品、通讯设备、计算机、软件及辅助设备；技术推广服务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,
北京艾琳薇儿美容有限公司,美容（限非医疗美容）（卫生许可证有效期至2017年09月04日）；销售化妆品、服装、服饰、家庭用品、工艺美术品。(领取本执照后，应到市美容美发协会备案。；企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
北京悦风景文化休闲有限公司,美容；组织文化艺术交流活动（不含演出）；教育咨询（不含出国留学咨询及中介服务）；销售化妆品、日用品；技术推广服务。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,北京悦风景文化休闲有限公司，主要经营高端健康专业美甲沙龙，旗下品牌“INailSalo”一经推出，所持有的健康、天然、无添加的护理理念，以清新的环境，健康的产品，专业的技术、贴心的服务赢得广大顾客的青睐，也刷新了美甲、美睫及手足护理领域的新定义；作为德国LCN Kiosk店，引进LCN全系列健康指甲及手足护理产品，产品不含对身体有害的化学成分，孕妇及孩童均可安全使用; 公司自成立短短一年多以来，已经成功开启“双井富力城”和“西单老佛爷”两家门店，多家新店筹备中，公司实行人性化管理制度，为员工提供业内极具竞争力的薪酬及福利，为员工交纳国家规定的各项社会保险，让每一个员工都有归属感和幸福感，加入我们，不仅仅是赢得一份工作，更是加入一个温暖的大家庭！
北京卓雅美容美发有限公司,理发、美容（限非医疗美容）（卫生许可证有效期至2018年06月15日）；销售日用品、化妆品。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
北京传世风格美发有限公司,理发。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,本公司成立两年。有良好的工作氛围，开心工作 用心学习 努力赚钱 服务好进店的每一位客人是我们的共同目标 我们致力于精益求精的技术 不断学习的心态 有团队精神 愿与有能力的人才合作共创共赢
北京伊人靓靓美容美发有限公司,理发、美容（限非医疗美容）；销售日用品、化妆品、服装、箱包、工艺品、小饰品；健康咨询；健康管理（须经审批的诊疗活动除外）。,
北京庭恩美发中心,理发。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
北京锦秀佳人美发有限公司,理发,
北京徐全有审美美容美发有限公司,美容美发（医疗性美容除外）。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
北京臻我美发有限公司,理发。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,
北京古唯风尚美发中心,理发。,
北京海洋洋美容服务有限公司,理发、美容（非医疗美容）；零售日用品。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),
北京仁泰门诊部有限公司,内科、妇产科、妇科专业、医学检验科、医学影像科、中医科、儿科、急诊医学科、皮肤科、皮肤病专业；销售医疗器械（限Ⅰ类）、日用品、卫生用品。 内科、妇产科、妇科专业、医学检验科、医学影像科、中医科、儿科、急诊医学科、皮肤科、皮肤病专业。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
锦逸形象设计（北京）有限公司,理发（卫生许可证有效期至2018年06月11日）；销售化妆品、医疗器械I类、文化用品；技术开发、技术转让、技术咨询、技术服务；企业形象策划。,
北京文泽形象设计有限公司,企业策划；个人形象设计（不含美容美发）；销售日用品；理发。（企业依法自主选择经营项目，开展经营活动；理发以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,"BAIDU_CLB_fillSlo(""452850"");"
北京市自然修脚服务有限责任公司,修脚服务（不含诊疗）；美容；理发；销售服装、日用品、化妆品；家政服务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,
北京婧迪馨约美容有限公司,美容（非医疗美容）（卫生许可证有效期至2018年06月19日）；销售化妆品、日用杂品、办公用品、Ⅰ类医疗器械；技术开发、技术转让、技术咨询（中介除外）、技术服务；组织文化艺术交流活动（演出除外）；会议服务；承办展览展示；经济信息咨询。（领取本执照后，应到市美容美发协会备案。）,
北京神奇美域美容有限公司,美容（非医疗美容）；经济贸易咨询；电脑图文设计；设计、制作、代理、发布广告；销售化妆品、日用品、服装。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,
北京红菲儿美容美体有限公司,美容（限非医疗美容）（卫生许可证有效期至2017年09月02日）；销售化妆品；零售服装鞋帽、箱包、针纺织品、日用杂货、日用品；设计、制作、代理、发布广告。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本区产业政策禁止和限制类项目的经营活动。）,
北京盛鑫恒源美容有限公司,美容（非医疗美容）（卫生许可证有效期至2018年01月02日）；技术服务、技术咨询。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
北京欧诺蔓美容美发有限公司,美容（卫生许可证有效期至2018年01月06日）；技术推广；经济贸易咨询；销售工艺品、礼品、化妆品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
北京蕾妮国际美容有限公司,美容（限非医疗美容）；销售日用品、服装。,
北京泽博投资管理有限公司,项目投资；投资管理；资产管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,
北京世医堂美容美发有限公司,理发、美容（非医疗美容）（卫生许可证有效期至2014年07月29日）；销售保健食品（食品卫生许可证有效期至2016年08月13日）；销售化妆品、日用品、体育用品、计算机、软件及辅助设备、机械设备、建材、服装、工艺品；技术推广服务；计算机技术培训；家庭劳务服务；货物进出口、技术进出口、代理进出口。（领取本执照后，应到市美容美发协会、商务委或区县商务委备案。）,
北京金沐禹美容咨询有限公司,经济贸易咨询；投资咨询；技术推广服务；企业策划；组织文化艺术交流活动（不含演出）；承办展览展示活动；销售化妆品、日用品、I类医疗器械。,
北京京朋汇白石桥中医门诊部有限公司,医疗检验科；临床体液、血液专业中医科；内科专业；针灸科专业；推拿科专业；康复医学专业；预防保健科专业；技术开发、技术转让、技术推广。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
北京市思艺美容美发有限公司,理发（卫生许可证有效期至2018年06月19日）；组织文化艺术交流活动（不含棋牌）；承办展览展示；会议服务。（领取本执照后，应到市美容美发协会备案。企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本区产业政策禁止和限制类项目的经营活动。）,
北京京都爱宠宠物用品有限公司,销售宠物用品；宠物美容（不含诊疗）；宠物摄影服务；宠物养护；货物进出口。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
北京新姿尚奕美容美发有限公司,美容（限非医疗美容）服务；经营保健食品（食品卫生许可证有效期至2018年01月26日）；经济信息咨询（不含中介服务）。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动）,
北京释梦圆美容有限公司,美容（非医疗美容）（卫生许可证有效期至2018年08月07日）；健康管理（需经审批的诊疗活动除外）；健康咨询（需经审批的诊疗活动除外）；体育运动项目经营（高危险性运动项目除外）；销售日用品、化妆品、服装鞋帽、针纺织品、仪器仪表、电子产品、日用杂品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
北京菲诗恩妮美容美发有限公司,理发、美容（非医疗美容）（卫生许可证有效期至2018年01月22日）；网页设计；经济信息咨询；销售办公用品、电子产品。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,
北京泰和怡美容有限公司,美容（非医疗美容）（卫生许可证有效期至2013年11月7日）；技术推广服务；组织文化艺术交流活动（不含演出）；承办展览展示活动。,
北京东升平洗浴有限责任公司,洗浴；歌厅；餐饮服务（含凉菜、不含裱花蛋糕、不含生食海产品）；住宿；零售卷烟、雪茄烟。,北京东升平是集洗浴 ，自助，欹厅，康体，住宿等一体的多功能商务会所。东升平始建于光绪三十三，解放初期停业，后于2009年在宣武区半步桥街重新营业，东升平现已经被列入北京百家重点保护老安号企业，企业本着“传承百年文化，凝聚百年精神，的经营理念，欢迎有志之士加入。
欧亚美创（北京）国际美容有限公司,美容（非医疗美容）；体育运动项目经营（不含棋牌）；会议服务；组织文化艺术交流活动（不含演出）；企业管理咨询。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),
北京汉方淑华美容化妆品有限公司,零售化妆品、工艺品、文具用品、建筑材料；技术推广服务；装饰设计；销售食品。（企业依法自主选择经营项目，开展经营活动；销售食品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,北京市昆仑医院是一所座落在社区的综合性医院。医院遵循“仁爱、敬业、厚德、至善”，高质量的服务、诚信热情、的宗旨去赢得广大患者的欢迎。 医院经过评审检查，已实现了室内温馨、医护队伍精干、医疗设备健全的医疗环境，能为你提供最可信赖的急诊的中西医常见病诊疗。医院设有门诊、病房，有较完善的检查、抢救设备，如心电图、B超、X光机、呼吸机等。为检查、诊断、治疗提供了强有力的支持。 门诊服务 门诊设有内科、外科、妇科（开展相关计划生育手术项目）、口腔科、中医科、中医皮肤科，用中药治疗各种顽固性皮癣及久病长期卧床而引起的褥疮。本辖区居住的老人因行走不便，到医院就医困难的，我院可派医护人员上门为老人服务、同时可办理家庭病床。
北京爱身体文化传播有限公司,组织文化艺术交流活动（不含演出）；技术开发、技术转让、技术咨询、技术服务、技术推广；销售日用品、化妆品、针纺织品、服装、鞋帽、计算机、软件及辅助设备、通讯设备、文具用品、家用电器、卫生间用具（不从事实体店铺经营）、体育用品、电子产品、珠宝首饰、工艺品、五金交电（不从事实体店铺经营）、金属材料、建筑材料（不从事实体店铺经营）；企业管理；企业策划；设计、制作、代理、发布广告；投资咨询。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,北京亭乐国际美容有限责任公司是一家除医疗美容外的美容美体养生连锁机构。亭乐国际是一家以快乐每一天，关爱每一人，关注每颗心为服务宗旨的特级美容美体养生连锁机构。 企业使命；让天下所有热爱生活的人都能健康的美丽。让企业的每一位员工感到骄傲和幸福。 企业经营理念；以人为本，真挚诚信。 企业价值观；责任 诚恳 专注 创新 敬业 奉献！
北京碟恋花休闲健身有限公司,体育运动项目经营（高危险性体育项目除外）；健康管理；健康咨询（须经审批的诊疗活动除外）；会议服务；组织文化艺术交流活动（不含营业性演出）；承办展览展示活动；技术咨询、技术服务。 （依法须经批准的项目，经相关部门批准后方可开展经营活动）（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
北京金色阳光俱乐部有限公司,物业管理；机动车公共停车场服务；餐饮管理；经济贸易咨询；会议服务；销售定型包装食品、饮料、酒；洗浴；非医疗性美容美发；（仅限分支机构经营）住宿（限分支机构经营）；餐饮服务（含凉菜、不含裱花蛋糕、不含生食水产品）(限分支机构经营）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,洗浴
北京市松秀园度假村,住宿、正餐服务；销售酒、饮料、包装食品；美容美发（医疗性美容除外）；洗浴；物业管理；卷烟零售、雪茄烟零售（烟草专卖零售许可证有效期至2019年05月05日）；建筑技术培训；销售百货；保龄球、台球、乒乓球、羽毛球、沙弧球、游泳、网球；会议服务。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
北京天昊源度假村,制售中餐（含冷荤凉菜）；国内宾客住宿；洗浴；美容、美发（医疗性美容除外）；刻制公章（限分支机构经营）；商务信息咨询；经济信息咨询（心理咨询及自费出国留学中介除外）；技术开发及转让、技术服务与培训。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
北京臻美时尚美容纤体有限公司,美容；销售服装、日用品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
东田时尚（北京）文化传播有限公司,组织文化艺术交流活动（不含演出）；企业管理咨询；摄影服务；从事文化经纪业务；投资咨询；家居装饰及设计；电脑图文设计、制作；企业形象策划；展览服务；会议服务；清洁服务；理发；美容（限分支机构经营）。（（1、不得以公开方式募集资金；2、不得公开交易证券类产品和金融衍生品；3、不得发放贷款；4、不得向所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益）依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,东田造型是***造型师、时尚界着名人士、有着中国彩妆教父之称的李东田先生于1999年创办的集发型设计、化妆造型、形象顾问、专业、商业摄影及制作、彩妆教学等核心业务为一体的国内专业权威造型及时尚传播、教育机构。多年来，东田造型以其对东方人独特气质的深入见解，凭借独到的审美视觉、精湛的专业技艺为潮流先锋及追求生活品位的成功人士创造了尽享潮流，诠释真我的高端平台，一直被业界誉为“中国流行时尚的风向标”。 东田造型目前在北京、上海、重庆、武汉、无锡、西安、威海、青岛、昆明均设有品牌形象店。为了让顾客享受到东田造型更多元化的服务，体验更多的、健康的生活方式。品牌将一切从顾客的需求出发，并力求独到，苛求创新，以高效、便捷的时尚特点，让众多消费者心驰神往。
北京派多格宠物用品有限公司,网上经营、零售日用品、不再分装的包装饲料、宠物用品；技术咨询、技术服务、技术转让、技术推广；设计、制作、代理、发布广告；市场调查；经济贸易咨询；企业管理咨询；企业策划；会议服务；承办展览展示；组织文化艺术交流活动。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本区产业政策禁止和限制类项目的经营活动。）,派多格集团介绍 快乐养宠，幸福生活。派多格宠物（PETDOG）创立于北京，致力于中国宠物行业的开拓与发展，历经10年努力，派多格在国内已经拥有了1700家宠物连锁店，拥有国内最大的宠物教育培训基地，派多格商学院和O2O线上线下相结合的庞大的宠物用品销售体系，业务覆盖宠物店连锁加盟、宠物用品销售、宠物教育培训、宠物训导、宠物繁育、宠物销售等环节，拥有派多格、麦顿狗粮、美狗岛、淘狗网等知名品牌，成为中国宠物行业中最具规模和影响力的多元化企业。随着派多格全国战略的推进，作为商务部备案的特许加盟企业，派多格采取宠物店整店输出形式打造强大连锁加盟体系，集宠物用品销售、宠物美容、宠物养护、宠物训导、宠物销售为一体的宠物加盟店遍布全国，成为国内最大的宠物连锁品牌。2014年，派多格启动了千城万店工程，打造一加N的模式，计划三年内在全国打造10000家派多格宠物连锁店。派多格电子商务体系，拥有独立电商平台淘狗网、派多格网上商城，并依托天猫、京东、亚马逊、1号店开设的商品旗舰店以及派多格淘宝电商联盟和遍布全国的线下连锁店、分销商，组建强大的O2O电子商务销售体系，整合网络资源和服务体系，开创性的实现了宠物活体和宠物用品线上销售与加盟店的线下服务无缝对接，让消费者享受到一站式的完美服务，让加盟店不再为了没有顾客而烦恼。派多格宠物美容学校采取商学院形式面向全国输送大量专业人才，是派多格整合多方优势资源办学，强力出击中国宠物行业人才培训市场，引领行业健康发展，努力打造成为领跑中国、接轨国际宠物行业的权威学校，打造宠物行业的黄埔军校。创业10年，派多格不断创新，以打造宠物行业完美生态环境，为中国宠物行业崛起为己任，创造出一个又一个奇迹。品牌是一种力量：遍布全国的加盟店见证了派多格加盟体系的科学合理；商学院为加盟商和从业者提供包括行业知识、宠物美容技术、训犬技术以及宠物店运营管理全方位理论体系、技术支撑和人才储备；电子商务体系重塑派多格宠物未来格局，抢占大数据时代的行业制高点。旗下知名品牌麦顿狗粮、美狗岛美容用品，以及研发创新能力不断增强派多格的竞争实力。“努力打造中国的名牌、世界的品牌”，引领着派多格宠物努力向着国际化、多元化、集团化方向迈进。 中国的骄傲，世界的品牌，派多格欢迎您的加入！ 优越的福利待遇： 1、社会保险； 2、工龄工资； 3、提供食宿； 4、员工体检； 5、带薪年假； 6、补充商业保险； 7、节假日慰问费； 8、良好的晋升空间。 交通：1、朝阳区国贸有直达公司公交：808和809，小堡南街站； 2、通州北苑万达广场直达公司公交：通2路， 小堡西口站；808，小堡南街站； 3、6号线草房地铁站直达公司公交：公交813，宋庄铸造厂站；
东方蓝调（北京）美容美发有限公司,理发、美容（非医疗美容）；经营保健食品（食品卫生许可证有效期至2018年8月11日）；技术推广服务；企业策划；会议服务；设计广告；组织文化艺术交流活动（不含演出）；销售家具、医疗器械（限I类）、服装、鞋帽、工艺品、日用品、化妆品、机械设备、仪器仪表；医学研究与实验发展。（依法须经批准的项目，经相关部门批准后方可开展经营活动）（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,东方名剪美容美发连锁有限公司是一家集美容、美发、足浴等为一体的现代化企业，成立于1995年，创始人卢庆东。1999年“东方名剪”商标正式获得国家商标总局注册。 经过十多年的辛勤耕耘，东方名剪凭借一流的专业技术和优质的服务赢得了广大消费者的好评，发展规模不断扩大，品牌形象深入人心；同时也培养出一大批优秀的美容、美发、足疗专业技术人才。如今，东方名剪已成功地在中国开设了数十家直营连锁店，并被评选为“规范服务示范企业”、“北京市商业优秀特色店”、“北京市美发美容企业特级店”、“京城最受消费者欢迎企业”、“中国美发美容行业AAAAA级企业”“北京市美发美容行业协会会长单位”等。 公司秉承“精良设备、精湛技术、精心服务、精益求精”的经营理念，发扬严谨求实的工作作风，并且始终保持对顾客诚心诚意的服务态度。同时，我们把人才看作是企业获取成功的关键因素。正是基于这样的理念，东方名剪已经构建起完善、高效的人才管理和发展体系来吸引、激励、培养和留住最优秀的人才。 “天道酬勤，厚德载物”，东方名剪面对新的行业形势和市场机遇，正以品牌优势为动力，以美容美发为主体经营带动公司整个体系综合发展，励精图治、不断进取，以全新的姿态投入到行业的发展壮大中；展望未来，“市场”和“人才”将是我们未来工作的两大战略重点，攀登巅峰，成就美业，我们将致力为中国美容美发业发展加速！
北京红火柴户外运动有限公司,体育运动项目经营（高危险性体育项目除外）；销售体育用品、文化用品、机械设备、日用杂货、针纺织品、服装、鞋帽、化妆品、厨房用具、化工产品（不会含危险化学品及一类易制毒化学品）、工艺品、玩具、五金交电、家用电器。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,www.lefeu.com.c 红火柴，畅享户外。 红火柴户外成立于2007年，是一家极富创新性和国际化视野的连锁企业。红火柴户外的宗旨是帮助人们畅享户外。 作为中国户外运动用品市场的领先企业，红火柴户外从事开发、制造并销售最可靠的、安全易用的户外运动用品及优质专业的服务，帮助户外运动爱好者和合作伙伴取得成功。 红火柴户外的总部设在北京，在哈尔滨等城市拥有分支机构。红火柴户外北京旗舰店临近中国首都西直门交通枢纽，拥有约400平方米的充分展示空间。 红火柴户外拥有针对中国市场的丰富的产品线，包括登山、野营、攀岩、滑雪等几乎所有户外运动领域的着名品牌和主流产品。 红火柴户外与国内外众多着名户外运动用品供应商建立了深度的战略合作关系，并与国内外户外运动协会、俱乐部、媒体及其他相关机构保持着良好的合作关系。 红火柴户外的管理团队拥有多年户外运动经验，他们用国际化的管理思维和服务意识，致力于打造中国户外运动用品行业的第一品牌。 红火柴户外及员工郑重承诺，以下四个核心价值观是我们一切工作的基础： 成就顾客—我们致力于每位顾客的满意和成功 创业创新—我们追求对顾客和公司都至关重要的创新，同时快速而高效地推动其实现 诚信正直—我们秉持信任、诚实和富有责任感，无论是对内部还是外部 多元共赢—我们倡导互相理解，珍视多元性，以全球视野看待我们的文化 红火柴户外承诺成为一名负责和积极的企业公民，不断改善经营，积极倡导和推动环境保护事业的发展，为社会发展做出贡献。红火柴户外坚信企业是社会的一个重要部分，并致力于与员工和当地社会一道改善人们生活的质量。 红火柴户外还致力于推动中国高校户外运动的发展，通过支持和赞助中国高校的登山活动，提升中国高校学生的身体素质和精神素质。
